transaction_id,account_id,customer_name,txn_date,txn_time,amount,txn_type,counterparty,counterparty_country,channel
1,1010,Alex Rowe,2026-03-03 00:00:00,10:10:00,9800,deposit,Cash,US,branch
2,1010,Alex Rowe,2026-03-04 00:00:00,10:11:00,9450,deposit,Cash,US,branch
3,1010,Alex Rowe,2026-03-05 00:00:00,10:12:00,9700,deposit,Cash,US,branch
4,1010,Alex Rowe,2026-03-06 00:00:00,10:13:00,9600,deposit,Cash,US,branch
5,1010,Alex Rowe,2026-03-10 00:00:00,14:00:00,120.5,withdrawal,ATM,US,atm
6,1020,Priya Nair,2026-04-05 00:00:00,09:00:00,48000,wire_in,Offshore Holdings LLC,AE,wire
7,1020,Priya Nair,2026-04-05 00:00:00,13:45:00,47500,wire_out,Global Trading Co,HK,wire
8,1020,Priya Nair,2026-04-20 00:00:00,11:00:00,300.0,deposit,Payroll,US,online
9,1030,Daniel Kim,2026-05-11,09:00:00,150,withdrawal,POS,US,online
10,1030,Daniel Kim,2026-05-11,09:17:00,150,withdrawal,POS,US,online
11,1030,Daniel Kim,2026-05-11,09:34:00,90,withdrawal,POS,US,online
12,1030,Daniel Kim,2026-05-11,09:51:00,220,withdrawal,POS,US,online
13,1030,Daniel Kim,2026-05-11,10:08:00,220,withdrawal,POS,US,online
14,1030,Daniel Kim,2026-05-11,10:25:00,220,withdrawal,POS,US,online
15,1030,Daniel Kim,2026-05-11,10:42:00,150,withdrawal,POS,US,online
16,1030,Daniel Kim,2026-05-11,10:59:00,75,withdrawal,POS,US,online
17,1030,Daniel Kim,2026-05-11,11:16:00,150,withdrawal,POS,US,online
18,1030,Daniel Kim,2026-05-11,11:33:00,75,withdrawal,POS,US,online
19,1030,Daniel Kim,2026-05-11,11:50:00,300,withdrawal,POS,US,online
20,1030,Daniel Kim,2026-05-11,12:07:00,150,withdrawal,POS,US,online
21,1030,Daniel Kim,2026-05-11,12:24:00,150,withdrawal,POS,US,online
22,1030,Daniel Kim,2026-05-11,12:41:00,150,withdrawal,POS,US,online
23,1040,Omar Haddad,2026-06-02 00:00:00,16:00:00,20000,wire_out,Silverline Trading FZE,AE,wire
24,1040,Omar Haddad,2026-06-09 00:00:00,16:00:00,20000,wire_out,Silverline Trading FZE,AE,wire
25,1040,Omar Haddad,2026-06-16 00:00:00,16:00:00,20000,wire_out,Silverline Trading FZE,AE,wire
26,1040,Omar Haddad,2026-06-23 00:00:00,16:00:00,20000,wire_out,Silverline Trading FZE,AE,wire
27,1050,Maria Gomez,2026-01-17 00:00:00,00:00:00,648.73,withdrawal,Grocery Store,US,branch
28,1050,Maria Gomez,2026-01-27 00:00:00,00:00:00,296.38,deposit,Landlord,US,atm
29,1050,Maria Gomez,2026-02-01 00:00:00,00:00:00,2919.88,withdrawal,Payroll,US,branch
30,1050,Maria Gomez,2026-02-05 00:00:00,00:00:00,754.95,withdrawal,ATM,US,atm
31,1050,Maria Gomez,2026-02-28 00:00:00,00:00:00,2468.97,withdrawal,Utility Co,US,atm
32,1050,Maria Gomez,2026-03-01 00:00:00,00:00:00,1525.96,deposit,ATM,US,online
33,1050,Maria Gomez,2026-03-17 00:00:00,00:00:00,2491.63,withdrawal,ATM,US,online
34,1050,Maria Gomez,2026-04-01 00:00:00,00:00:00,644.33,withdrawal,Payroll,US,branch
35,1050,Maria Gomez,2026-04-08 00:00:00,00:00:00,824.44,deposit,Landlord,US,online
36,1050,Maria Gomez,2026-04-19 00:00:00,00:00:00,1033.95,deposit,Grocery Store,US,atm
37,1050,Maria Gomez,2026-04-27 00:00:00,00:00:00,1914.34,withdrawal,Grocery Store,US,atm
38,1050,Maria Gomez,2026-05-08 00:00:00,00:00:00,1198.98,withdrawal,Grocery Store,US,atm
39,1050,Maria Gomez,2026-05-31 00:00:00,00:00:00,849.01,deposit,Grocery Store,US,branch
40,1050,Maria Gomez,2026-06-04 00:00:00,00:00:00,808.27,deposit,Utility Co,US,branch
41,1050,Maria Gomez,2026-06-12 00:00:00,00:00:00,529.99,deposit,Grocery Store,US,atm
42,1050,Maria Gomez,2026-06-30 00:00:00,00:00:00,227.27,deposit,Landlord,US,online
43,1050,Maria Gomez,2026-07-03 00:00:00,00:00:00,1956.66,withdrawal,Grocery Store,US,atm
44,1050,Maria Gomez,2026-08-07 00:00:00,00:00:00,713.72,deposit,Utility Co,US,atm
45,1060,John Becker,2026-01-15 00:00:00,00:00:00,737.8,deposit,Payroll,US,branch
46,1060,John Becker,2026-01-19 00:00:00,00:00:00,1552.19,withdrawal,Utility Co,US,online
47,1060,John Becker,2026-01-24 00:00:00,00:00:00,2272.23,deposit,Grocery Store,US,branch
48,1060,John Becker,2026-02-10 00:00:00,00:00:00,2380.4,withdrawal,ATM,US,online
49,1060,John Becker,2026-02-27 00:00:00,00:00:00,210.8,deposit,ATM,US,branch
50,1060,John Becker,2026-02-28 00:00:00,00:00:00,1773.55,deposit,Payroll,US,branch
51,1060,John Becker,2026-03-17 00:00:00,00:00:00,1315.6,withdrawal,Payroll,US,branch
52,1060,John Becker,2026-04-09 00:00:00,00:00:00,1157.23,withdrawal,ATM,US,atm
53,1060,John Becker,2026-04-13 00:00:00,00:00:00,1098.75,deposit,ATM,US,atm
54,1060,John Becker,2026-04-21 00:00:00,00:00:00,1075.81,withdrawal,Utility Co,US,branch
55,1060,John Becker,2026-05-02 00:00:00,00:00:00,2841.61,deposit,Landlord,US,branch
56,1060,John Becker,2026-05-05 00:00:00,00:00:00,2451.75,deposit,Grocery Store,US,branch
57,1060,John Becker,2026-05-06 00:00:00,00:00:00,78.04,withdrawal,Landlord,US,online
58,1060,John Becker,2026-05-19 00:00:00,00:00:00,414.29,withdrawal,Grocery Store,US,atm
59,1060,John Becker,2026-06-11 00:00:00,00:00:00,195.44,deposit,Payroll,US,atm
60,1060,John Becker,2026-06-16 00:00:00,00:00:00,1132.79,withdrawal,Payroll,US,online
61,1060,John Becker,2026-06-26 00:00:00,00:00:00,619.43,withdrawal,Utility Co,US,branch
62,1060,John Becker,2026-07-15 00:00:00,00:00:00,501.42,deposit,ATM,US,atm
63,1060,John Becker,2026-07-26 00:00:00,00:00:00,1233.04,deposit,Payroll,US,branch
64,1060,John Becker,2026-08-11 00:00:00,00:00:00,1883.39,deposit,Grocery Store,US,atm
65,1060,John Becker,2026-08-12 00:00:00,00:00:00,1827.65,deposit,ATM,US,branch
66,1060,John Becker,2026-08-13 00:00:00,00:00:00,2164.65,deposit,ATM,US,online
67,1060,John Becker,2026-08-15 00:00:00,00:00:00,1620.17,withdrawal,Landlord,US,online
68,1060,John Becker,2026-09-06 00:00:00,00:00:00,1668.61,deposit,Payroll,US,branch
69,1070,Wei Zhang,2026-01-21 00:00:00,00:00:00,2557.0,deposit,ATM,US,online
70,1070,Wei Zhang,2026-01-26 00:00:00,00:00:00,170.75,deposit,Payroll,US,online
71,1070,Wei Zhang,2026-02-12 00:00:00,00:00:00,1231.11,withdrawal,Grocery Store,US,atm
72,1070,Wei Zhang,2026-02-18 00:00:00,00:00:00,1618.13,deposit,Utility Co,US,online
73,1070,Wei Zhang,2026-03-05 00:00:00,00:00:00,1745.18,deposit,ATM,US,online
74,1070,Wei Zhang,2026-03-09 00:00:00,00:00:00,2781.02,withdrawal,Landlord,US,atm
75,1070,Wei Zhang,2026-03-13 00:00:00,00:00:00,1398.63,deposit,Utility Co,US,branch
76,1070,Wei Zhang,2026-03-17 00:00:00,00:00:00,668.75,deposit,ATM,US,branch
77,1070,Wei Zhang,2026-05-19 00:00:00,00:00:00,201.65,withdrawal,Payroll,US,online
78,1070,Wei Zhang,2026-05-30 00:00:00,00:00:00,1440.83,deposit,Payroll,US,branch
